Country,Phase 1,Phase 2
Burkina Faso, Jan 2018,  Jan 2018 
DRC,          Jan 2017,  Jan 2018 
Kenya,        Jan 2017,  Jan 2018 
Nigeria,      Jan 2017,  Jan 2018 
